STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",1/1/1950,0,0,0,62,70,54
USW00023183,"PHOENIX AIRPORT, AZ US",1/2/1950,0,0,0,60,66,54
USW00023183,"PHOENIX AIRPORT, AZ US",1/3/1950,0,0,0,40,55,25
USW00023183,"PHOENIX AIRPORT, AZ US",1/4/1950,0,0,0,33,47,19
USW00023183,"PHOENIX AIRPORT, AZ US",1/5/1950,0,0,0,34,51,17
USW00023183,"PHOENIX AIRPORT, AZ US",1/6/1950,0,0,0,39,59,19
USW00023183,"PHOENIX AIRPORT, AZ US",1/7/1950,0,0,0,45,67,23
USW00023183,"PHOENIX AIRPORT, AZ US",1/8/1950,0,0,0,48,61,35
USW00023183,"PHOENIX AIRPORT, AZ US",1/9/1950,0,0,0,50,62,38
USW00023183,"PHOENIX AIRPORT, AZ US",1/10/1950,0,0,0,45.5,61,30
USW00023183,"PHOENIX AIRPORT, AZ US",1/11/1950,0,0,0,48.5,63,34
USW00023183,"PHOENIX AIRPORT, AZ US",1/12/1950,0.09,0,0,44.5,56,33
USW00023183,"PHOENIX AIRPORT, AZ US",1/13/1950,0,0,0,44.5,55,34
USW00023183,"PHOENIX AIRPORT, AZ US",1/14/1950,0,0,0,45.5,60,31
USW00023183,"PHOENIX AIRPORT, AZ US",1/15/1950,0,0,0,45,60,30
USW00023183,"PHOENIX AIRPORT, AZ US",1/16/1950,0,0,0,47,65,29
USW00023183,"PHOENIX AIRPORT, AZ US",1/17/1950,0,0,0,53,72,34
USW00023183,"PHOENIX AIRPORT, AZ US",1/18/1950,0,0,0,57,75,39
USW00023183,"PHOENIX AIRPORT, AZ US",1/19/1950,0,0,0,58.5,78,39
USW00023183,"PHOENIX AIRPORT, AZ US",1/20/1950,0,0,0,62,84,40
USW00023183,"PHOENIX AIRPORT, AZ US",1/21/1950,0,0,0,59,78,40
USW00023183,"PHOENIX AIRPORT, AZ US",1/22/1950,0,0,0,60,75,45
USW00023183,"PHOENIX AIRPORT, AZ US",1/23/1950,0,0,0,58,76,40
USW00023183,"PHOENIX AIRPORT, AZ US",1/24/1950,0,0,0,59.5,71,48
USW00023183,"PHOENIX AIRPORT, AZ US",1/25/1950,0,0,0,47,58,36
USW00023183,"PHOENIX AIRPORT, AZ US",1/26/1950,0,0,0,44.5,63,26
USW00023183,"PHOENIX AIRPORT, AZ US",1/27/1950,0,0,0,48.5,71,26
USW00023183,"PHOENIX AIRPORT, AZ US",1/28/1950,0,0,0,50.5,68,33
USW00023183,"PHOENIX AIRPORT, AZ US",1/29/1950,0.22,0,0,48.5,51,46
USW00023183,"PHOENIX AIRPORT, AZ US",1/30/1950,0.1,0,0,53,63,43
USW00023183,"PHOENIX AIRPORT, AZ US",1/31/1950,0,0,0,49.5,62,37
USW00023183,"PHOENIX AIRPORT, AZ US",2/1/1950,0,0,0,47.5,64,31
USW00023183,"PHOENIX AIRPORT, AZ US",2/2/1950,0,0,0,51.5,67,36
USW00023183,"PHOENIX AIRPORT, AZ US",2/3/1950,0,0,0,58,76,40
USW00023183,"PHOENIX AIRPORT, AZ US",2/4/1950,0,0,0,58.5,76,41
USW00023183,"PHOENIX AIRPORT, AZ US",2/5/1950,0,0,0,61.5,77,46
USW00023183,"PHOENIX AIRPORT, AZ US",2/6/1950,0,0,0,59.5,77,42
USW00023183,"PHOENIX AIRPORT, AZ US",2/7/1950,0,0,0,64,76,52
USW00023183,"PHOENIX AIRPORT, AZ US",2/8/1950,0,0,0,57.5,74,41
USW00023183,"PHOENIX AIRPORT, AZ US",2/9/1950,0,0,0,57.5,74,41
USW00023183,"PHOENIX AIRPORT, AZ US",2/10/1950,0,0,0,58.5,67,50
USW00023183,"PHOENIX AIRPORT, AZ US",2/11/1950,0.37,0,0,52.5,60,45
USW00023183,"PHOENIX AIRPORT, AZ US",2/12/1950,0,0,0,50.5,65,36
USW00023183,"PHOENIX AIRPORT, AZ US",2/13/1950,0,0,0,52,67,37
USW00023183,"PHOENIX AIRPORT, AZ US",2/14/1950,0,0,0,54,71,37
USW00023183,"PHOENIX AIRPORT, AZ US",2/15/1950,0,0,0,59.5,80,39
USW00023183,"PHOENIX AIRPORT, AZ US",2/16/1950,0,0,0,61,81,41
USW00023183,"PHOENIX AIRPORT, AZ US",2/17/1950,0,0,0,63,82,44
USW00023183,"PHOENIX AIRPORT, AZ US",2/18/1950,0,0,0,63,83,43
USW00023183,"PHOENIX AIRPORT, AZ US",2/19/1950,0,0,0,62,80,44
USW00023183,"PHOENIX AIRPORT, AZ US",2/20/1950,0,0,0,67.5,82,53
USW00023183,"PHOENIX AIRPORT, AZ US",2/21/1950,0,0,0,61,78,44
USW00023183,"PHOENIX AIRPORT, AZ US",2/22/1950,0,0,0,60,79,41
USW00023183,"PHOENIX AIRPORT, AZ US",2/23/1950,0,0,0,61,79,43
USW00023183,"PHOENIX AIRPORT, AZ US",2/24/1950,0,0,0,62.5,82,43
USW00023183,"PHOENIX AIRPORT, AZ US",2/25/1950,0,0,0,64,85,43
USW00023183,"PHOENIX AIRPORT, AZ US",2/26/1950,0.73,0,0,61,73,49
USW00023183,"PHOENIX AIRPORT, AZ US",2/27/1950,0.05,0,0,61,68,54
USW00023183,"PHOENIX AIRPORT, AZ US",2/28/1950,0,0,0,59.5,73,46
USW00023183,"PHOENIX AIRPORT, AZ US",3/1/1950,0.01,0,0,60.5,69,52
USW00023183,"PHOENIX AIRPORT, AZ US",3/2/1950,0.14,0,0,62,72,52
USW00023183,"PHOENIX AIRPORT, AZ US",3/3/1950,0,0,0,61.5,77,46
USW00023183,"PHOENIX AIRPORT, AZ US",3/4/1950,0,0,0,65.5,83,48
USW00023183,"PHOENIX AIRPORT, AZ US",3/5/1950,0,0,0,65.5,83,48
USW00023183,"PHOENIX AIRPORT, AZ US",3/6/1950,0,0,0,63.5,80,47
USW00023183,"PHOENIX AIRPORT, AZ US",3/7/1950,0,0,0,56,73,39
USW00023183,"PHOENIX AIRPORT, AZ US",3/8/1950,0,0,0,59,76,42
USW00023183,"PHOENIX AIRPORT, AZ US",3/9/1950,0,0,0,59.5,78,41
USW00023183,"PHOENIX AIRPORT, AZ US",3/10/1950,0,0,0,64,79,49
USW00023183,"PHOENIX AIRPORT, AZ US",3/11/1950,0,0,0,60.5,78,43
USW00023183,"PHOENIX AIRPORT, AZ US",3/12/1950,0,0,0,57.5,69,46
